Age,DistToWork,DualInc,Education,Gender,Income,Language,NbrInHouseHold,NbrInHouseholdUnder18,OwnRent,Rider,YrsInArea
7,14,N,3,F,3,English,1,0,Rent,Yes,5
7,10,N,5,M,8,English,2,0,Own,No,5
3,9,N,3,M,1,English,1,0,Rent,Yes,5
1,13,N,2,M,1,English,5,3,Parent,Yes,5
3,14,N,5,F,2,English,3,1,Parent,Yes,5
1,12,N,2,M,1,English,5,0,Parent,Yes,5
2,10,N,4,M,3,English,4,2,Rent,Yes,2
3,13,N,5,M,6,English,1,0,Own,No,5
7,9,Y,3,M,4,English,2,0,Own,No,4
2,10,N,4,F,8,English,2,0,Parent,Yes,5
2,12,N,4,F,2,English,3,0,Parent,Yes,5
2,13,N,3,M,1,English,4,1,Parent,Yes,5
3,12,N,4,F,4,English,4,1,Rent,Yes,2
1,11,N,2,F,1,Other,9,7,Parent,Yes,4
2,13,N,3,M,3,English,1,0,Rent,Yes,5
2,11,N,4,M,2,English,6,0,Parent,Yes,5
4,11,N,3,F,3,English,1,0,Rent,No,4
7,11,N,5,M,8,English,2,0,Own,No,5
6,13,Y,1,F,2,Spanish,4,1,Rent,Yes,3
1,10,N,2,M,8,English,3,1,Parent,No,5
2,13,Y,3,M,6,English,2,0,Own,No,5
6,9,Y,6,M,8,English,9,2,Own,No,4
3,11,N,6,F,4,English,2,0,Parent,Yes,4
3,13,Y,4,F,8,Other,2,0,Own,Yes,5
1,12,N,2,F,1,English,8,6,Parent,Yes,5
1,13,N,2,F,1,English,4,1,Parent,Yes,4
4,9,N,6,F,7,English,2,0,Own,Yes,3
1,14,N,2,M,9,English,4,2,Parent,Yes,5
2,8,N,3,M,6,English,3,0,Parent,No,5
2,12,N,4,F,5,English,2,0,Own,Yes,5
2,8,N,2,F,8,English,4,1,Parent,Yes,5
7,10,N,4,F,4,English,2,0,Own,No,5
5,11,N,5,F,9,English,2,0,Own,No,3
2,15,N,2,M,7,Spanish,5,2,Parent,Yes,5
6,8,N,4,F,1,English,1,0,Own,Yes,5
5,14,N,3,F,8,English,5,1,Own,No,5
3,10,N,5,F,4,English,2,0,Rent,No,3
7,10,N,4,F,1,English,1,0,Rent,Yes,5
1,13,N,1,M,1,English,5,3,Parent,Yes,5
3,9,Y,4,F,6,English,2,0,Rent,Yes,1
4,10,Y,6,M,8,English,7,5,Own,No,5
5,10,Y,5,M,9,English,4,1,Own,No,5
2,11,N,3,M,2,English,1,0,Rent,Yes,2
7,15,N,2,F,2,English,1,0,Own,Yes,5
1,7,N,2,F,1,English,7,5,Parent,Yes,3
2,10,N,3,M,2,English,1,0,Rent,Yes,2
4,10,N,6,M,6,English,1,0,Rent,No,5
4,17,Y,6,F,8,English,2,0,Own,No,5
3,6,N,4,F,2,English,3,1,Parent,No,2
4,9,N,6,M,6,English,1,0,Rent,No,2
1,14,N,2,M,1,Spanish,3,1,Parent,Yes,4
3,10,N,4,F,9,English,3,1,Own,No,5
2,11,N,3,M,2,English,5,0,Rent,Yes,2
3,10,Y,6,F,8,English,4,2,Rent,No,4
5,7,Y,6,M,6,English,5,0,Own,No,5
1,10,N,2,M,1,English,3,0,Parent,Yes,5
2,13,N,4,F,1,English,5,1,Parent,Yes,2
4,12,N,5,F,6,English,4,1,Own,No,5
2,11,N,3,M,8,English,4,1,Parent,Yes,5
1,12,N,2,F,1,English,3,0,Parent,Yes,5
1,13,N,2,F,1,English,5,2,Parent,Yes,3
